ins,strt,to,t,mk,dc,out,ru,pre,lb,ub,opt,dev
J90_11_10,grdlw,600000.0,1836.0,81,1460,OPT,55.252204585537925,20,81.0,81.0,81.0,0.0
J90_11_2,grdlw,600000.0,1217.0,99,1051,OPT,57.84692563216053,9,99.0,99.0,99.0,0.0
J90_11_3,grdlw,600000.0,6002.0,69,8171,OPT,57.76502611638343,15,69.0,69.0,69.0,0.0
J90_11_4,grdlw,600000.0,1988.0,64,2021,OPT,63.953669154228855,23,64.0,64.0,64.0,0.0
J90_11_5,grdlw,600000.0,849.0,81,704,OPT,46.572817161052456,12,81.0,81.0,81.0,0.0
J90_11_6,grdlw,600000.0,60929.0,78,58038,OPT,54.61182336182336,17,78.0,78.0,78.0,0.0
J90_11_7,grdlw,600000.0,248.0,95,352,OPT,40.163853028798414,5,95.0,95.0,95.0,0.0
J90_11_8,grdlw,600000.0,149744.0,82,144420,OPT,57.87705326032852,24,82.0,82.0,82.0,0.0
J90_11_9,grdlw,600000.0,2493.0,81,2339,OPT,54.21390778533636,13,81.0,81.0,81.0,0.0
J90_12_1,grdlw,600000.0,398.0,71,292,OPT,35.08446175444953,0,71.0,71.0,71.0,0.0
J90_12_10,grdlw,600000.0,253.0,86,258,OPT,35.64665870024818,0,86.0,86.0,86.0,0.0
J90_12_2,grdlw,600000.0,170.0,71,211,OPT,31.602910514446194,0,71.0,71.0,71.0,0.0
J90_12_3,grdlw,600000.0,287.0,93,297,OPT,32.5889164598842,0,93.0,93.0,93.0,0.0
J90_12_4,grdlw,600000.0,349.0,73,307,OPT,37.599478147423355,0,73.0,73.0,73.0,0.0
J90_12_5,grdlw,600000.0,273.0,83,241,OPT,31.925735729804465,0,83.0,83.0,83.0,0.0
J90_12_6,grdlw,600000.0,265.0,81,262,OPT,33.77049180327869,0,81.0,81.0,81.0,0.0
J90_12_7,grdlw,600000.0,424.0,77,254,OPT,37.8630832889508,0,77.0,77.0,77.0,0.0
J90_12_8,grdlw,600000.0,223.0,83,221,OPT,31.171892539100497,0,83.0,83.0,83.0,0.0
J90_12_9,grdlw,600000.0,234.0,77,261,OPT,37.67872506042853,0,77.0,77.0,77.0,0.0
J90_14_2,grdlw,600000.0,51129.0,79,19725,OPT,72.16604200551588,22,79.0,79.0,79.0,0.0
J90_14_7,grdlw,600000.0,23028.0,86,13330,OPT,52.8297601744186,8,86.0,86.0,86.0,0.0
J90_15_1,grdlw,600000.0,506.0,76,447,OPT,50.12183235867447,7,76.0,76.0,76.0,0.0
J90_15_2,grdlw,600000.0,2667.0,71,2090,OPT,60.86956521739131,22,71.0,71.0,71.0,0.0
J90_15_3,grdlw,600000.0,446.0,82,331,OPT,56.77920971349452,14,82.0,82.0,82.0,0.0
J90_15_4,grdlw,600000.0,1306.0,92,1093,OPT,45.729522879009934,14,92.0,92.0,92.0,0.0
J90_15_6,grdlw,600000.0,134610.0,61,116297,OPT,65.54042789663795,14,61.0,61.0,61.0,0.0
J90_15_7,grdlw,600000.0,1272.0,82,1350,OPT,55.522120156266496,9,82.0,82.0,82.0,0.0
J90_15_8,grdlw,600000.0,7419.0,82,4745,OPT,60.478975830482284,15,82.0,82.0,82.0,0.0
J90_15_9,grdlw,600000.0,285256.0,83,253630,OPT,50.720363973376024,14,83.0,83.0,83.0,0.0
J90_16_1,grdlw,600000.0,403.0,85,250,OPT,36.279986855077226,0,85.0,85.0,85.0,0.0
J90_16_10,grdlw,600000.0,264.0,71,250,OPT,46.63849765258216,0,71.0,71.0,71.0,0.0
J90_16_2,grdlw,600000.0,324.0,71,255,OPT,45.52406463319796,0,71.0,71.0,71.0,0.0
J90_16_3,grdlw,600000.0,387.0,73,290,OPT,52.998056595724506,0,73.0,73.0,73.0,0.0
J90_16_4,grdlw,600000.0,266.0,69,244,OPT,46.72290720311486,0,69.0,69.0,69.0,0.0
J90_16_5,grdlw,600000.0,317.0,71,250,OPT,41.927223163025076,0,71.0,71.0,71.0,0.0
J90_16_6,grdlw,600000.0,381.0,74,292,OPT,34.63163377510273,0,74.0,74.0,74.0,0.0
J90_16_7,grdlw,600000.0,255.0,65,238,OPT,44.412713035467526,0,65.0,65.0,65.0,0.0
