ins,strt,to,t,mk,dc,out,ru,pre,lb,ub,opt,dev
J90_5_10,vslw,600000.0,495164.0,110,254905,SAT,73.66060606060606,44,94.0,96.0,,
J90_5_2,vslw,600000.0,451663.0,101,282453,SAT,73.93596502507394,41,93.0,93.0,93.0,-8.60215053763441
J90_5_3,vslw,600000.0,577041.0,101,288477,SAT,72.58989056800417,41,82.0,87.0,,
J90_5_4,vslw,600000.0,201920.0,118,80607,SAT,72.54683318465655,46,101.0,103.0,,
J90_5_5,vslw,600000.0,360460.0,129,198066,SAT,62.6194339282495,36,107.0,111.0,,
J90_5_6,vslw,600000.0,208628.0,93,115131,SAT,72.46780831010223,46,85.0,86.0,,
J90_5_7,vslw,600000.0,490246.0,122,221032,SAT,67.0168552297391,49,105.0,107.0,,
J90_5_8,vslw,600000.0,310630.0,118,147852,SAT,68.84698018620196,42,96.0,102.0,,
J90_5_9,vslw,600000.0,406099.0,133,183752,SAT,73.06122448979592,47,113.0,115.0,,
J90_6_3,vslw,600000.0,577210.0,78,395991,SAT,71.82588916459885,34,77.0,77.0,77.0,-1.2987012987012987
J90_6_8,vslw,600000.0,421963.0,70,342367,SAT,67.04545454545455,20,68.0,68.0,68.0,-2.941176470588235
J90_9_1,vslw,600000.0,515418.0,124,173690,SAT,74.70069837046891,65,100.0,104.0,,
J90_9_10,vslw,600000.0,447270.0,133,160940,SAT,75.39072400101378,48,102.0,111.0,,
J90_9_2,vslw,600000.0,223464.0,154,50484,SAT,75.59337214509628,65,119.0,128.0,,
J90_9_3,vslw,600000.0,245859.0,123,86354,SAT,73.38515143393192,43,97.0,102.0,,
J90_9_4,vslw,600000.0,142437.0,151,53941,SAT,74.06969410280668,57,117.0,127.0,,
J90_9_5,vslw,600000.0,363145.0,171,74627,SAT,72.9378270236996,58,125.0,140.0,,
J90_9_6,vslw,600000.0,569097.0,145,198859,SAT,74.67980295566502,66,110.0,119.0,,
J90_9_7,vslw,600000.0,289095.0,133,117949,SAT,74.60893613343704,42,102.0,109.0,,
J90_9_8,vslw,600000.0,456930.0,145,157347,SAT,73.19074639895243,63,109.0,116.0,,
J90_9_9,vslw,600000.0,125563.0,141,49984,SAT,75.22566086395874,53,107.0,116.0,,
